癥	症
換	换
顢	颟
鳥	鸟
釧	钏
蒐	搜
靨	靥
瑪	玛
聲	声
榿	桤
鱺	鲡
腫	肿
樁	桩
讀	读
較	较
嬋	婵
鏃	镞
鈑	钣
圓	圆
閔	闵
渙	涣
鰥	鳏
鄧	邓
銦	铟
嘩	哗
謫	谪
覬	觊
搵	揾
餷	馇
窶	窭
縹	缥
猻	狲
詁	诂
毀	毁
慇	殷
晉	晋
蟈	蝈
擊	击
額	额
鉑	铂
鏐	镠
鑕	锧
闔	阖
論	论
鶴	鹤
賚	赉
穡	穑
齣	出
壢	坜
內	内
鋦	锔
癩	癞
譫	谵
艱	艰
惲	恽
藴	蕴
競	竞
幹	干
卻	卻,却
偽	伪
燼	烬
攆	撵
龍	龙
鸌	鹱
餎	饹
閑	闲
鐐	镣
園	园
鈔	钞
贖	赎
馮	冯
騤	骙
甦	苏
瀨	濑
貫	贯
辭	辞
測	测
檯	台
頸	颈
轂	毂
曇	昙
蕆	蒇
臉	脸
荊	荆
髏	髅
颸	飔
譚	谭
虜	虏
緡	缗
籠	笼
磣	碜
驤	骧
盧	卢
釩	钒
賫	赍
獪	狯
鉦	钲
黷	黩
發	发
謅	诌
誄	诔
昇	升
尋	寻
莊	庄
續	续
騏	骐
禎	祯
錕	锟
梘	枧
讚	赞
紡	纺
龢	和
鬥	斗
瘧	疟
邨	村
氫	氢
嗆	呛
榮	荣
漬	渍
縷	缕
碸	砜
霽	霁
鈿	钿
熾	炽
賀	贺
係	系
諄	谆
黌	黉
驏	骣
軌	轨
絡	络
遺	遗
癧	疬
煩	烦
僨	偾
滬	沪
擰	拧
聳	耸
蟲	虫
緶	缏
鱒	鳟
鉿	铪
燾	焘
䲁	鳚
誅	诛
欄	栏
搆	构
脈	脉
舊	旧
箏	筝
頎	颀
澗	涧
褘	袆
岡	冈
嬤	嬷
鐦	锎
刪	删
躭	耽
輬	辌
殯	殡
雜	杂
閻	阎
鎿	镎
瀾	澜
賁	贲
鵡	鹉
槃	盘
巋	岿
猶	犹
彌	弥
顎	颚
釓	钆
癒	愈
動	动
鍔	锷
聞	闻
鵠	鹄
擱	搁
兩	两
亂	乱
樅	枞
鉀	钾
紋	纹
後	后
鈕	钮
鎔	镕
沖	冲
覘	觇
攛	撺
誚	诮
簡	简
綠	绿
霧	雾
璦	瑷
銪	铕
強	强
頹	颓
獵	猎
窺	窥
嘽	啴
瞼	睑
傾	倾
蓆	席
臍	脐
鑑	鉴
闐	阗
鉕	钷
診	诊
櫚	榈
晝	昼
締	缔
廢	废
驥	骥
鯤	鲲
適	适
鋪	铺
濬	浚
譯	译
腳	脚
菴	庵
罷	罢
島	岛
塹	堑
駸	骎
嫺	娴
陽	阳
蜆	蚬
興	兴
喬	乔
銓	铨
陘	陉
記	记
諛	谀
謄	誊
崢	峥
頤	颐
鎩	铩
溫	温
優	优
氬	氩
枱	台
騸	骟
隻	只
閽	阍
俁	俣
叡	睿
櫃	柜
擇	择
籌	筹
魎	魉
釕	钌
達	达
詘	诎
藝	艺
摜	掼
絢	绚
硤	硖
靦	腼
軫	轸
豬	猪
嶼	屿
電	电
鑼	锣
鍾	钟
漁	渔
訃	讣
萇	苌
縋	缒
憊	惫
崍	崃
頏	颃
鮎	鲇
霑	沾
嚐	尝
閒	闲
儕	侪
蓯	苁
侖	仑
謙	谦
誘	诱
攝	摄
綢	绸
夥	伙,夥
鐧	锏
鞦	秋
銨	铵
踫	碰
冪	幂
責	责
殮	殓
誼	谊
尷	尴
羶	膻
甽	圳
咼	呙
潁	颍
軀	躯
棄	弃
塏	垲
闒	阘
陸	陆
譙	谯
虛	虚
齡	龄
廠	厂
鍩	锘
鋨	锇
賬	账
東	东
鱷	鳄
現	现
氂	牦
蘆	芦
羋	芈
騎	骑
鐒	铹
儔	俦
攜	携
銩	铥
錨	锚
覯	觏
暱	昵
瘲	疭
悵	怅
愴	怆
帶	带
鯫	鲰
嬸	婶
櫞	橼
璽	玺
爾	尔
轀	辒
綺	绮
齷	龌
穎	颖
囑	嘱
鑒	鉴
僕	仆
識	识
懟	怼
扞	捍
廡	庑
齠	龆
屢	屡
噦	哕
勩	勚
獨	独
濫	滥
賭	赌
浬	里
詮	诠
鴕	鸵
韻	韵
況	况
節	节
壪	塆
蠅	蝇
舉	举
簍	篓
綌	绤
餏	饻
逕	径
贗	赝
準	准
標	标
殘	残
徠	徕
癮	瘾
嚦	呖
玨	珏
撲	扑
酈	郦
確	确
緋	绯
賂	赂
曆	历
齋	斋
屍	尸
罌	罂
違	违
釔	钇
毘	毗
慟	恸
繡	绣
糢	模
顥	颢
鏨	錾
襯	衬
諮	咨
荳	豆
擲	掷
聵	聩
